10 5
5.48813504,7.15189366,6.02763376,5.44883183,4.23654799,79.79586491520851
6.45894113,4.37587211,8.91773001,9.63662761,3.83441519,97.07257318379008
7.91725038,5.2889492,5.68044561,9.25596638,0.71036058,93.29860847684267
0.871293,0.20218397,8.32619846,7.78156751,8.70012148,64.63740159964394
9.78618342,7.99158564,4.61479362,7.80529176,1.18274426,100.25281459454717
6.39921021,1.43353287,9.44668917,5.21848322,4.1466194,86.62989270161292
2.64555612,7.74233689,4.56150332,5.68433949,0.187898,58.930452786723755
6.17635497,6.12095723,6.16933997,9.43748079,6.81820299,93.11924656421432
3.59507901,4.37031954,6.97631196,0.60225472,6.66766715,62.65867105190641
6.7063787,2.10382561,1.28926298,3.15428351,3.63710771,63.80455126092762
