100 10
11,8,3,3,5,3,8,2,12,12,45
6,0,10,3,4,4,6,4,9,9,54
3,7,6,5,12,0,8,8,8,12,153
2,7,0,3,6,10,4,9,11,4,-2
8,10,9,2,0,10,1,7,8,0,43
5,3,2,6,4,5,5,7,6,6,1
0,5,11,5,12,10,8,3,12,7,2
3,10,7,7,12,7,4,5,4,1,54
5,10,4,7,12,1,7,3,5,9,86
6,12,8,5,5,2,11,4,6,8,46
6,1,6,12,1,0,1,6,5,3,-3
9,1,2,5,3,4,1,0,10,4,-25
3,7,7,12,9,3,3,5,5,2,17
8,2,8,5,9,7,7,2,11,6,7
4,9,6,1,7,0,11,6,3,6,107
9,1,10,2,10,9,6,12,0,12,184
4,11,3,7,1,10,7,9,4,7,-42
7,7,11,0,3,0,1,2,4,2,147
2,12,4,7,11,5,10,11,3,4,68
3,2,0,5,7,3,8,9,3,11,50
7,4,7,9,0,6,12,11,6,2,-65
9,12,5,2,2,12,5,7,6,4,15
3,4,4,2,12,1,11,0,7,8,43
10,2,2,10,3,11,0,1,2,10,-74
7,8,4,5,9,0,12,1,12,1,-11
8,0,11,11,5,10,6,12,12,2,-20
11,0,10,0,4,0,12,1,0,11,91
7,4,7,8,8,2,8,7,3,5,59
2,11,7,10,3,9,3,0,7,10,-74
6,5,0,7,4,1,10,7,1,3,-17
12,9,12,10,0,12,11,4,6,3,-115
10,6,0,7,9,2,6,12,10,11,124
5,5,1,5,3,7,12,7,0,11,-39
5,9,4,1,2,4,1,8,6,8,123
8,0,6,2,8,10,4,5,8,10,57
2,8,6,7,10,9,10,5,6,6,-28
11,3,1,6,6,1,10,8,5,3,30
0,7,8,1,3,0,2,2,2,7,107
12,10,3,1,9,10,5,8,10,3,90
0,8,10,1,4,2,10,4,9,2,32
6,8,4,1,4,8,2,2,3,2,24
4,0,4,1,3,5,3,6,6,0,25
8,0,12,9,12,8,1,11,7,4,129
3,6,8,11,8,11,1,0,4,8,-53
10,11,7,0,2,5,3,9,0,3,153
1,4,4,6,1,8,12,10,11,9,-78
2,4,2,6,2,7,12,4,5,11,-103
11,5,8,4,4,7,12,9,1,11,61
8,1,12,12,4,8,10,5,11,2,-104
10,2,10,4,0,1,3,7,3,0,88
7,0,10,4,4,12,10,6,2,0,-60
4,1,8,3,8,8,7,1,5,3,-18
2,7,5,3,3,6,11,1,8,9,-62
10,2,7,1,0,0,1,9,1,10,187
9,7,11,6,4,3,2,4,8,5,90
11,7,3,11,4,12,10,9,2,12,-60
4,6,4,4,5,4,4,1,4,2,-3
7,6,0,3,5,8,4,7,11,9,27
7,1,10,10,10,9,3,0,11,9,-22
3,11,2,11,1,12,3,8,10,0,-127
1,10,0,11,2,7,6,3,3,2,-144
7,11,9,9,7,3,4,1,3,1,27
3,12,12,8,12,1,6,4,2,9,145
3,5,11,11,5,5,5,11,7,8,53
12,9,4,0,0,9,11,5,0,0,-27
8,6,5,4,5,1,8,11,1,9,138
2,3,12,0,5,8,3,0,8,3,27
5,6,4,2,12,12,6,5,8,3,21
10,9,5,1,2,11,9,3,5,2,-45
4,10,4,2,3,2,8,10,1,7,106
3,0,0,2,11,11,10,12,10,6,11
1,5,3,9,2,9,0,0,11,7,-114
2,0,4,5,8,10,5,4,4,6,-34
4,0,0,2,3,10,6,3,4,9,-65
3,8,11,1,10,7,6,5,7,7,118
12,11,9,9,11,11,1,6,5,1,72
12,6,9,3,0,11,10,4,10,11,-31
12,5,5,9,2,11,8,1,1,2,-131
8,2,8,5,9,12,9,10,3,6,34
11,1,5,11,0,6,12,2,9,6,-161
0,11,7,5,10,7,9,6,5,3,24
10,0,8,2,12,3,1,2,1,8,175
8,1,1,6,9,11,9,1,5,7,-93
10,3,7,4,3,12,9,4,10,1,-87
4,5,0,12,6,6,12,7,9,7,-120
6,9,5,11,2,8,1,4,8,5,-55
8,7,9,6,10,2,9,6,9,9,107
11,6,11,6,2,8,5,8,1,11,84
8,11,10,12,2,6,1,1,4,2,-34
7,11,7,12,5,11,8,9,10,12,-33
6,5,4,10,8,0,10,2,10,6,-33
0,0,8,3,7,4,5,8,7,2,62
7,11,7,8,8,2,11,8,10,1,35
12,10,0,10,2,2,11,2,9,6,-90
8,11,2,1,8,5,11,3,8,1,11
8,7,6,4,4,11,2,3,9,8,5
10,5,10,0,8,0,2,9,10,3,234
11,3,1,7,6,9,10,4,6,8,-70
1,11,12,11,11,9,7,10,9,0,20
3,0,10,6,4,2,11,12,0,8,76
